"","vertexID","vertexCentrDegree","vertexCentrCloseness","vertexCentrEigen","vertexCentrBetweenness","vertexPageRank","vertexHub","vertexAuthority"
"anonymous","anonymous",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"newman mej","newman mej",1,0.508771929824561,1,0,0.0342068720828516,1,1
"barabási al","barabási al",1,0.508771929824561,1,0,0.0342068720828516,1,1
"watts dj","watts dj",1,0.508771929824561,1,0,0.0342068720828516,1,1
"albert r","albert r",1,0.508771929824561,1,0,0.0342068720828516,1,1
"girvan m","girvan m",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"erdos p","erdos p",1,0.508771929824561,1,0,0.0342068720828516,1,1
"dorogovtsev sn","dorogovtsev sn",1,0.508771929824561,1,0,0.0342068720828516,1,1
"pastorsatorras r","pastorsatorras r",1,0.508771929824561,1,0,0.0342068720828516,1,1
"boccaletti s","boccaletti s",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"fortunato s","fortunato s",1,0.508771929824561,1,0,0.0342068720828516,1,1
"leskovec j","leskovec j",1,0.508771929824561,1,0,0.0342068720828516,1,1
"freeman lc","freeman lc",1,0.508771929824561,1,0,0.0342068720828516,1,1
"clauset a","clauset a",1,0.508771929824561,1,0,0.0342068720828516,1,1
"sporns o","sporns o",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"guimerà r","guimerà r",1,0.508771929824561,1,0,0.0342068720828516,1,1
"jeong h","jeong h",1,0.508771929824561,1,0,0.0342068720828516,1,1
"barrat a","barrat a",1,0.508771929824561,1,0,0.0342068720828516,1,1
"strogatz sh","strogatz sh",1,0.508771929824561,1,0,0.0342068720828516,1,1
"lancichinetti a","lancichinetti a",1,0.508771929824561,1,0,0.0342068720828516,1,1
"bullmore et","bullmore et",1,0.508771929824561,1,0,0.0342068720828516,1,1
"latora v","latora v",1,0.508771929824561,1,0,0.0342068720828516,1,1
"cohen r","cohen r",1,0.508771929824561,1,0,0.0342068720828516,1,1
"holme p","holme p",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"ravasz e","ravasz e",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"blondel vd","blondel vd",1,0.508771929824561,0.999999999999999,0,0.0342068720828516,1,1
"arenas a","arenas a",1,0.508771929824561,1,0,0.0342068720828516,1,1
"milo r","milo r",1,0.508771929824561,1,0,0.0342068720828516,1,1
"palla g","palla g",1,0.508771929824561,1,0,0.0342068720828516,1,1
"zachary ww","zachary ww",1,1,0.103533146027406,1,0.00800070959730352,1,1
